Word,Part of Speech,Meaning,Example (Wolaytta),Example (English)
puuraa,noun,disappointment%,"Ayyoo 
tanaara diya puuray miishsha gaaso.","His disappointment with me is due to a 
financial reason.%(syn) [yiilluwa, lancciya, hanqquwa.]
qan''iya%1. noun%"
puuraa,noun,"breakfast, breakfastvfood, meal eaten in the morning%","Taani 
maallado qan''iya mabeenna gishshawu,tana namisiis.","Because I didn't have my 
breakfast in the morning, I am hungry.%"
qashuwa,noun,bundle%,qasho maataa,a bundle of grass%(syn) [xephiya.]%
qashuwa,noun,prison; imprisonment%,I qashuwappe birshshettiis.,"He was released from 
prison.%"
qashuwa,noun,tying; fastening,,
santtimiya,noun,"cent, ten cent coin%",,
santtimiya,noun,ten-cent coin%,"Tammu santtimee issi 
bira.",Ten ten-cent coins is one birr.%
santtimiya,noun,money%,"I bankkiyan daro santtiya 
wottiis.","He deposited a lot of money.%(syn) [miishshaa, gumaa.]"
sarotaa,noun,greeting; salutation%,Sarotay Toophphiya wogatuppe issuwa.,Greeting is an important part of Ethiopian culture.%
sarotaa,noun,peace%,"Sarotay inttiyo 
gido.",Peace to you.%
shoohuwa,noun,sheath; scabbard; shell%,I bisaa shoohuwan yeggiis.,"He put
the sword back in its sheath.%"
shoohuwa,noun,foreskin%,Shoohoy shemppuwa xeeraa genttees.,The foreskin covers the end of the penis.
shugo,adjective,soft; fragile; pliable; flexible%,"A nuussi keehi shugo 
muuziya aattaasu; nu maanawu danddayibookko.","She served very soft bananas; we 
couldn't eat them.%(syn) [walli giya, shum''iina.]%"
shugo,adjective,weak; slow; lazy; inactive;,,
taagaa,pronoun,"mine, first person singular possessive pronoun%","Hagee 
keettay taagaa.",This house is mine.%
taarikiya,noun,"history, past events%",Toophiya Taarikiya,Ethiopian
tamaa,noun,fire%,I tama daafan hayqqiis.,He died by fire accident.%
tiriya,noun,liver%,Tiree ashodan meetettees.,Liver is eaten like meat.%
tiriya,noun,copper ring (worn on finger)%,"Maccaasiya ba biradhdhiyan tire migiduwa 
wottaasu.",The woman put a copper ring on her finger.%
tumaa,noun,truth; fact; reality%,Worddanchchay tumaa haasayenna.,"A liar 
does not speak truth.%"
uluwa,noun,stomach; abdomen; womb; belly%,"Uloy ba garssan maracciyanne 
hara bolla kifileta xaaxi waaxiya bolla kifile.","The abdomen is the part of the
body that contains the intestines and other organs.%"
uluwa,noun,food; meal%,"Ooso loytti oottena asay simmidi issitoo 
maana ulo xalaaleessi doosona.","People who do not work hard live only for their
next meal."
wayssiya,adjective,"naughty; troublesome; mischievous; disobedient; 
difficult; obscure; notorious; awkward; crooked; obstinate; mulish; stubborn%",Issitoo issitoo asttamaaree danddayaa xayidi wayssiya tamaare naata seerees.,"Sometimes, the teacher gets impatient with the naughty students and punishes 
them.%"
wayssiya,adjective,unclear; confusing;,,
wogetaa,noun,civilization%,beni wode Griike Asaa wogetaa,"the 
civilization of the early Greeks%(syn) [eratettaa.]%"
wogetaa,noun,wealth; estate; affluence;,,
wogga,adjective,big; great; huge; massive; large; tall; awesome; mammoth;,,
xaraphpheezaa,noun,table%,xaraphpheezaanne wombbarata,"a table and chairs
%"
xaraphpheezaa,noun,"board, board of elders, corporate headquarters (in Wolaita KHC)",,
xillo,adjective,clean; neat; pure%,xillo haattaa,"clean water%(syn) 
[geeshsha, walalla, mulxxuxxa, hummunna, qalxxaxxa, wululla.]%"
xillo,adjective,"righteous; 
absolute; just; faultless; blameless; right%","Entte soo aaway xillo asa; oonne A
nashshees.","Your father is a just man; everybody admires him.%(syn) [likke, 
nagari baynna, gamma, adda, suure.]"
xiskkuwa,noun,sleep; nap; doze; slumber%,"Neeni daafuriyo wode, niyo guutta
xiskkoy koshshees.","When you are exhausted, you need a little sleep.%"
xuntta,adjective,narrow; tight; thin; shrunken%,xuntta ogiya,"narrow road
%"
yafaraa,noun,furrow; row%,Qaacoy yafaran hemettees.,"Ants travel in a 
row.%"
yafaraa,noun,line%,I woraqatan sitta yafaraa xaafiis.,"He drew a straight line on a 
piece of paper.%"
yeluwa,noun,"giving birth, bringing life into being%","Na'iya koyro yeluwassi
bantta soo biyogee Wolaytta woga.","In Wolaita culture, a lady is taken to her 
parent's home to give birth to her first child.%"
yeluwa,noun,child%,Cora yeluwa dichchanaagee wayssees.,"It is 
difficult to raise many children.
yiggi xeelliis%1. transitive verb%"
yeluwa,noun,compare; balance; analyze%,"Ane ne 
oyssaappenne taagaappe awugee dariyakko yiggi xeellidi be'oos.","Let's compare 
your butter and mine and see which is greater.%(syn) [likkiis, kiliis, 
geeddarissiis, wadhdhiis1, yiggiis, xakkayiis.]%"
yeluwa,noun,evaluate; inspect; check%,Daannay markkaa qaalaa yiggi xeellibeenna.,"The judge has not evaluated the 
witness' testimony.%(syn) [hooshiis.]"
yiilluwa,noun,anger; wrath; indignation; annoyance; resentment; reproach;,,
zammaana,adjective,modern; up-todate%,"Ha wodiya naati zammana maayuwa 
maayanawu dosees.","These days, children like to wear modern clothes.%"
zammaana,adjective,"fashionable, currently popular%",zammaana maayuwa,fashionable clothes%
addiya,noun,"boy, male, male person%",Etaso aayyiya addiya yelaasu.,"Their 
mother gave birth to a boy%"
addiya,noun,cock%,Kutto addee maallado waassiis.,"The cock 
crowed in the morning.%"
addiya,noun,old man%,"Na'ay toochchidi bitaniya ""addiya"" giigi 
xeesiis.","The boy rudely called the main ""adiya."""
addiya,noun,"boy, male, male person%",Etaso aayyiya addiya yelaasu.,"Their 
mother gave birth to a boy%"
addiya,noun,cock%,Kutto addee maallado waassiis.,"The cock 
crowed in the morning.%"
addiya,noun,old man%,"Na'ay toochchidi bitaniya ""addiya"" giigi 
xeesiis.","The boy rudely called the main ""adiya."""
amaliya,noun,mood; violence; disobedience; opponent; rebellion%,"Amalee 
yiilluwa qonccisiyo hanqquwa.","Mood implies a feeling or display of sullen 
anger.%"
amaliya,noun,conduct; behavior; character%,"Geella naatuura pee'idi iita amaliya 
eriis.",He learned his bad behavior by being with bad children.%
amaliya,noun,habit;,,
ammanuwa,noun,belief; faith; conviction; reliance%,"Ta ammanoy daro 
tamaarida asawu daro qaaday diyogaa.","I have a belief that the more education 
one has the better opportunities one has.%"
ammanuwa,noun,religion%,Asay alamiyan cora ammanuwa kaallees.,"People follow many
religions in the world. %(syn) [haymaanootiya]"
ane,interjection,just%,Ane bu! Nena ta baqqa yeggana.,"Just dare to go! I
will slap you.%"
ane,interjection,let%,Asay kariya qoxxees. Ane gelona hayyanaa.,"Somebody is 
knocking. Please let them in.%"
ane,interjection,please,,
aysuwa,noun,governance; administration; management%,"Asay aysoy 
kaymatettaanne geeshshatettaa koyees yaagees.","People say that governance 
requires maturity and honesty.%"
aysuwa,noun,"marriage (widow's 
marriage)%",,
aysuwa,noun,passing night,,
azalla,adjective,weak; feeble; weary%,"Azalla haree konttaale maxiniya 
caanana danddayenna.","The feeble donkey cannot carry a quintal of salt.%(syn) 
[zililiina, tushula, gililiina]%"
azalla,adjective,lazy; slow (learner)%,"Timirttiya azalla 
tamaaree paaciyan aadhdhibeenna.","The lazy student has not passed the 
examination.%"
azazuwa,noun,order; command%,"Asi ubbi ba gadaawaa azazzuwa naggana 
bessees.",Everybody must follow the orders of his/her boss.%
azazuwa,noun,"instruction, 
statement of command%",,
azazuwa,noun,commandment%,tammu azazota,ten commandments%
azazuwa,noun,"will, 
legacy, bequest made in will%(syn) [bazettaa, hayqqiiddi immiyo qaalaa]",,
coo,adverb,in vain%2. pronoun%,,
coo,adverb,nothing%3. adverb%,,
coo,adverb,simple %,"Nuuni coo 
kattaa: daabuwara shayiyara kahuwa mi aqida.","We had a simple dinner of bread 
and tea. %4. adjective%"
coo,adverb,free,,
desha,adjective,naughty; troublesome; mischievous; disobedient%,"Desha 
na'ay bari asttamaareessi azazettenna.","The naughty child does not obey her 
teacher.%(syn) [undduwaalo, qaxiballo, wuttaalo, xaaxetta, qaxa, kinnaalo, 
dirqqalletta, wayssiya, geella, xambbixallo, xambbarsso, wulaato, shikkaalo, 
shikkibillo, xaaphaalo, doossa, muttaamuro.]%"
desha,adjective,difficult; obstinate; mulish;,,
eessaa,noun,"honey, nectar, a sweet sticky yellowish-brown fluid made by 
bees and other insects from flower nectar%",Eessay bariya adussees.,"Honey 
prolongs life. %"
eessaa,noun,mead %,Caalida eessaa uyiyogee mattoyees.,"Drinking 
fermented mead causes one to be drunk. %"
eessaa,noun,hydromel %,"Haattan maarido eessay 
Paranjjattuwan 'haydromeeliya' geetettees.","In English, honey mixed with water 
is called hydromel."
eqa,adjective,"abnormally tall, ill proportioned%","Eqa keettay maara 
keexettibeenna.",The ill-proportioned house was built incorrectly. %
eqa,adjective,"pointed 
(of nose) %",Assi siiree eqa.,He has a pointed nose. %
eqa,adjective,"nagging, complaining, 
terrible (of a man)%",eqa maccaaasiyo,a nagging wife
erettida,adjective,"well-known; prominent; popular; noticeable; famous; 
noted; acquaintance %",I erettida akttere.,He was a well-known actor. %
gadaawaa,noun,hunt leader%,,
gadaawaa,noun,"commander, general of army%",,
gadaawaa,noun,"chairman, kebele 
leader, officer, high mark%",A aaway gadaawavgididi dooretiis.,"His father was 
elected to the position of chairman.%"
gadaawaa,noun,boss; arbiter%,"Ta gadaaway ba beeruwa 
zino yeddiis.",My boss resigned his office yesterday.%(syn) [halaafiya.]
gadiya,noun,"plot, land, yard, a small piece of ground%","Aaway hayqqin naati
gadiya shakki ekkidosona.","The children divided the plot of land when their 
father died.%"
gadiya,noun,land%,"Gadee biittaa kifiliyappe haattan kamettibeenna minniya
sohuwa.","Land is the solid part of the earth’s surface not covered by a body of
water."
gakettaa,noun,coming; arrival; appearance%,"Toophiya bayra Wottay Hayle 
Gebre Sillaasee gakettaappe simmin doomettiis.","The Great Ethiopian Race began 
after Haile Gebre Selassie's arrival.%"
gakettaa,noun,"ripening, the process of ripening, or 
developing something (for example fruits, vegetables etc.)%","Ta ishay nu biittaa
zilaytti badala gakettan yiis.","My brother visited our family last year during 
the ripening of maize.%"
gakettaa,noun,maturation; growth%,yiiratu asa gamma gakkettaa,"the 
maturation of children
geela'iyo%1. noun%"
gakettaa,noun,girl%,"I bantta sooppe kalliidi diya keettaappe geela'iyo 
ekkiis.","He married the girl next door.%(syn) [galddiyo, mulssiyo.]%"
gakettaa,noun,virgin,,
hargganchchaa,noun,"patient, sick person%","I hargganchchaa pattanawu 
aakimiya zorettaa bessiis.","He consulted the nurse in order to heal the 
patient.%"
kifiliya,noun,grade%,,
kifiliya,noun,class; room; classroom%,"Issi issi shugo tamaareti 
dawwalee dawwalettanaappe kasettidi kifiliyappe kiyiichchoosona.","Some lazy 
students leave the classroom before the bell rings.%"
kifiliya,noun,"part; section
%",Anoy dozatu bollaa kifiliya.,A stem is a part of a plant.
laafa,adjective,weak; slow; lazy; inactive; feeble%,"Ooso ayfee naati laafa
gidiyogaa bessiis.","The results showed that both the children are lazy 
students.%"
laafa,adjective,"thin; skinny%(syn) [labbana, taylitayla, tiilitiila, goyxa, 
qawuxanna]%",,
laafa,adjective,small; least; little; sub%,"A laafa sukkaariya yeggido gishshaw, 
shayee mal''ibeenna.","Because she put a small amount of sugar into the tea, it 
was not sweet.%"
laafa,adjective,ordinary; plain; unembellished,,
lefa,adjective,"loose; unfastened%(syn) [shol""a, dol''a, kodhdhikodhdha]%",,
lefa,adjective,weak; feeble; faint; limp; poor%,"Lefa kushee issibaa loytti oyqqanawu 
danddayenna.",Weak hands cannot grasp things well.%
lefa,adjective,"easy; simple; 
uncomplicated; unproblematic%",Tamaareti lefa paaciyan aadhdhidosona.,"The 
students passed the simple exam.%(syn) [kawushsha, kana kaassa, metenna]"
maara,adverb,properly%,"Tamaare naatoo hayyanintta, maara uttite.","Students, sit properly please.%"
maara,adverb,proper; orderly%,maara oosuwa,proper work
maccaasiyo,noun,wife%,Azinay ba maccaasiyo siiqees.,"A husband loves his 
wife.%(syn) [keettaayyiyo, machchiyo.]%"
maccaasiyo,noun,woman; maiden%,"Hanna ba azinaara 
warettiya xalttaama maccaasa.","This is a violent woman who quarrels with her 
husband.%"
malaa,noun,guess; imagination; prophecy; hypothesis%,"Taagee mala qofa 
gidanaw danddayees, shin iray bukkennan aggenna.","It could be my imagination, 
but I think it is raining.%"
malaa,noun,"magician, witch doctor, shaman, magic, occult, 
wizard, sorcerer, warlock%","Malay taassi sinttappe hananaw diyabaa aybanne 
erenna.",A magician knows nothing about my future.%
